#1
double csv(8751,9)
# time	TSet	fanRet	fanSup	bypass	converged	TLiving	TMin	QHea
5922000	290.971293983	0.023413187608	0.023413187608	0	1	291.476793604	289.15	0.00300876191854
5925600	290.812641928	0.0233477156045	0.0233477156045	0	1	291.338521068	289.15	0.00300876191984
5929200	290.648589602	0.0233469098103	0.0233469098103	0	1	291.175354084	289.15	0.00300876191984
5932800	290.475375885	0.0233466263736	0.0233466263736	0	1	291.017310191	289.15	0.00300876191984
5936400	328.359765241	0.0233414456991	0.0233414456991	0	1	290.844275105	289.15	29999.9969912
5940000	317.840806001	0.0233403741254	0.0233403741254	0	1	294.479991758	294.15	0.000578825655242
5943600	315.754369004	0.0234533800661	0.0234533800661	0	1	294.002195265	294.15	1945.59175253
5947200	314.315120567	0.0233403381924	0.0233403381924	0	1	293.93439742	294.15	2498.46095699
5950800	313.369277059	0.0233405518984	0.0233405518984	0	1	293.874759786	294.15	3224.32523415
5954400	312.676726055	0.0233391394052	0.0233391394052	0	1	293.831189919	294.15	2986.53935758
5958000	294.988674851	0.023347839747	0.023347839747	0	1	293.799213151	289.15	0.000796030307227
5961600	292.260418842	0.023349095384	0.023349095384	0	1	292.343687363	289.15	0.00234047691152
5965200	291.420431725	0.023674961166	0.023674961166	0	1	291.761555386	289.15	0.00291874183982
5968800	291.026190941	0.0233493741227	0.0233493741227	0	1	291.40861661	289.15	0.00300876189591
5972400	290.759424691	0.0233480008038	0.0233480008038	0	1	291.153892858	289.15	0.00300876191984
5976000	290.542069842	0.0233482504452	0.0233482504452	0	1	290.946546788	289.15	0.00300876191984
5979600	290.353060895	0.0233470328508	0.0233470328508	0	1	290.767732184	289.15	0.00300876191984
5983200	330.239593961	0.0237327330534	0.0237327330534	0	1	290.608083449	289.15	29999.9969912
5986800	318.459423257	0.023340652388	0.023340652388	0	1	294.465527946	294.15	0.000576013906537
5990400	315.637594136	0.0233396266191	0.0233396266191	0	1	293.985366402	294.15	1556.05978441
5994000	295.226562992	0.0233503398584	0.0233503398584	0	1	293.930843391	289.15	0.000787216896072
5997600	292.224182678	0.0233487478478	0.0233487478478	0	1	292.402097209	289.15	0.00225111516875
6001200	291.419257268	0.023348339946	0.023348339946	0	1	291.88527196	289.15	0.00287036119899
6004800	291.124568657	0.0233490571624	0.0233490571624	0	1	291.627068658	289.15	0.0030026859674
6008400	290.964561786	0.0233491746312	0.0233491746312	0	1	291.477465967	289.15	0.00300876191983
6012000	290.83963625	0.0233491467252	0.0233491467252	0	1	291.36481446	289.15	0.00300876191984
6015600	290.715401402	0.0233483811596	0.0233483811596	0	1	291.251641708	289.15	0.00300876191984
6019200	290.578731376	0.0233481797634	0.0233481797634	0	1	291.124453707	289.15	0.00300876191984
6022800	327.374295278	0.0233871369367	0.0233871369367	0	1	290.973717081	289.15	29999.9969912
6026400	316.998533892	0.0233412616959	0.0233412616959	0	1	294.492557736	294.15	0.000598005096266
6030000	314.903384934	0.0233411889662	0.0233411889662	0	1	294.016868183	294.15	1891.22499555
6033600	313.503123537	0.0233409745552	0.0233409745552	0	1	293.9447045	294.15	2293.51794354
6037200	312.607468329	0.0233410626195	0.0233410626195	0	1	293.881522597	294.15	2997.31262913
6040800	311.934979212	0.0233395281521	0.0233395281521	0	1	293.840384309	294.15	2784.19635989
6044400	294.95036532	0.0233481279987	0.0233481279987	0	1	293.804263672	289.15	0.000735717952422
6048000	292.358013981	0.023349072591	0.023349072591	0	1	292.395979197	289.15	0.00217489939016
6051600	291.548596009	0.0233474382231	0.0233474382231	0	1	291.834818568	289.15	0.00284003596353
6055200	291.15807705	0.0233489280374	0.0233489280374	0	1	291.487000621	289.15	0.00300861056354
6058800	290.887150531	0.0233474695577	0.0233474695577	0	1	291.226743036	289.15	0.00300876191984
6062400	290.66071488	0.0233475859463	0.0233475859463	0	1	291.012120335	289.15	0.00300876191984
6066000	290.45656593	0.0233462406263	0.0233462406263	0	1	290.823384904	289.15	0.00300876191984
6069600	329.440967718	0.0233399280515	0.0233399280515	0	1	290.650850837	289.15	29999.9969912
6073200	316.892172949	0.0233402085783	0.0233402085783	0	1	294.423539228	294.15	0.000589528712734
6076800	313.471512756	0.0233392821181	0.0233392821181	0	1	294.002367119	294.15	1351.02846129
6080400	295.136016377	0.0233496698244	0.0233496698244	0	1	293.92800348	289.15	0.000733756005858
6084000	292.474400754	0.0233475423326	0.0233475423326	0	1	292.605557158	289.15	0.00204251152716
6087600	291.795036258	0.0233478935277	0.0233478935277	0	1	292.198045857	289.15	0.00259291037854
6091200	291.564498208	0.023347617821	0.023347617821	0	1	292.036594915	289.15	0.00273856808107
6094800	291.435014315	0.0233471379983	0.0233471379983	0	1	291.939632062	289.15	0.0028098424531
6098400	291.317267358	0.0233472058931	0.0233472058931	0	1	291.837362245	289.15	0.00287087504935
6102000	291.180970782	0.0233624630509	0.0233624630509	0	1	291.712263849	289.15	0.00293112137172
6105600	291.016361741	0.0233459585985	0.0233459585985	0	1	291.559552333	289.15	0.00296285568678
6109200	323.623208272	0.0233408094172	0.0233408094172	0	1	291.372832334	289.15	29999.9969989
6112800	314.902134953	0.0233407598622	0.0233407598622	0	1	294.453608257	294.15	0.000586577438584
6116400	313.339448562	0.0233407437847	0.0233407437847	0	1	294.020643488	294.15	2448.26021449
6120000	312.340255799	0.0233405670404	0.0233405670404	0	1	293.955958539	294.15	2081.33965034
6123600	311.726343748	0.0233404856511	0.0233404856511	0	1	293.899306024	294.15	1628.24299389
6127200	311.340245595	0.0233392760757	0.0233392760757	0	1	293.853545767	294.15	1691.91626442
6130800	294.905779608	0.02334561119	0.02334561119	0	1	293.8150024	289.15	0.000696701290523
6134400	292.37668111	0.023345915185	0.023345915185	0	1	292.447799412	289.15	0.00209264948264
6138000	291.570549938	0.0233451523245	0.0233451523245	0	1	291.86431262	289.15	0.00276905657254
6141600	291.167406925	0.0233450383877	0.0233450383877	0	1	291.498981205	289.15	0.00299520757598
6145200	290.878275767	0.0233450162037	0.0233450162037	0	1	291.223473755	289.15	0.00300876191983
6148800	290.631491126	0.0233445127639	0.0233445127639	0	1	290.992180699	289.15	0.00300876191984
6152400	290.410586555	0.0233439904446	0.0233439904446	0	1	290.784632958	289.15	0.00300876191984
